timestamp,city,country,latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed
2026-03-04 09:00:00,Delhi,IN,28.66,77.21,238.1,299.481,14.622,50.417,118.848,10.88,84.93,134.23,3.951,25.2,77.6,9.45
2026-03-04 09:30:00,Delhi,IN,28.66,77.21,213.7,365.634,5.711,45.776,109.119,6.617,87.46,160.67,4.862,26.2,84.7,5.12
2026-03-04 10:00:00,Delhi,IN,28.66,77.21,186.6,286.248,4.121,23.329,47.726,3.699,69.55,106.41,4.865,28.9,34.8,10.24
2026-03-04 10:30:00,Delhi,IN,28.66,77.21,203.3,377.693,10.27,37.222,100.808,11.145,84.1,150.95,6.694,35.8,64.3,11.63
2026-03-04 11:00:00,Delhi,IN,28.66,77.21,165.4,128.482,3.396,27.993,84.086,5.908,58.73,108.18,2.311,22.7,74.9,12.43
2026-03-04 11:30:00,Delhi,IN,28.66,77.21,144.9,276.939,4.394,22.337,78.133,5.368,64.94,116.5,4.813,22.2,43.0,2.69
2026-03-04 12:00:00,Delhi,IN,28.66,77.21,153.2,215.35,7.026,26.124,76.254,3.11,60.81,102.32,4.157,21.2,45.8,2.73
2026-03-04 12:30:00,Delhi,IN,28.66,77.21,152.3,148.921,5.452,25.793,106.807,3.584,66.96,123.78,1.612,30.4,46.0,0.78
2026-03-04 13:00:00,Delhi,IN,28.66,77.21,156.9,251.808,2.974,20.936,84.979,8.063,62.37,112.1,2.498,26.1,64.3,7.36
2026-03-04 13:30:00,Delhi,IN,28.66,77.21,145.8,215.34,5.817,23.54,78.394,5.136,51.89,83.23,1.72,25.0,52.0,2.06
2026-03-04 14:00:00,Delhi,IN,28.66,77.21,167.5,258.478,5.98,25.312,34.397,4.703,72.38,128.96,4.333,21.7,70.0,4.78
2026-03-04 14:30:00,Delhi,IN,28.66,77.21,184.1,334.601,6.284,36.44,70.347,6.556,76.37,148.23,4.072,34.0,66.6,12.61
2026-03-04 15:00:00,Delhi,IN,28.66,77.21,185.4,230.303,3.044,27.86,111.724,5.282,79.39,145.56,3.945,26.0,69.4,14.23
2026-03-04 15:30:00,Delhi,IN,28.66,77.21,205.7,210.499,4.243,41.771,94.056,4.951,80.78,140.23,5.317,28.9,45.1,12.33
2026-03-04 16:00:00,Delhi,IN,28.66,77.21,211.0,266.45,8.298,31.302,34.586,6.777,87.3,144.98,3.492,20.0,76.0,0.01
2026-03-04 16:30:00,Delhi,IN,28.66,77.21,191.6,269.614,7.802,47.484,109.559,8.76,83.47,128.79,3.586,19.9,69.8,8.52
2026-03-04 17:00:00,Delhi,IN,28.66,77.21,232.8,393.058,3.776,29.602,104.4,6.827,96.15,155.99,6.917,19.2,37.8,2.5
2026-03-04 17:30:00,Delhi,IN,28.66,77.21,210.2,366.948,7.524,36.933,79.202,6.824,80.89,121.78,6.336,24.6,42.0,5.64
2026-03-04 18:00:00,Delhi,IN,28.66,77.21,230.1,398.695,10.779,37.931,32.016,9.366,95.78,190.91,6.377,26.5,48.1,6.42
2026-03-04 18:30:00,Delhi,IN,28.66,77.21,227.3,239.11,3.544,34.845,80.619,8.723,94.81,152.76,3.131,22.4,86.2,14.14
2026-03-04 19:00:00,Delhi,IN,28.66,77.21,222.0,306.833,4.862,43.716,34.913,6.225,99.02,188.88,2.65,24.3,49.6,9.51
2026-03-04 19:30:00,Delhi,IN,28.66,77.21,207.0,198.312,8.12,44.274,58.834,4.317,80.12,126.93,2.608,18.1,31.2,4.01
2026-03-04 20:00:00,Delhi,IN,28.66,77.21,198.8,316.895,10.547,44.846,86.602,4.179,78.05,128.14,3.541,24.3,38.5,9.64
2026-03-04 20:30:00,Delhi,IN,28.66,77.21,194.0,229.581,6.385,32.705,112.162,7.112,83.65,142.97,2.861,20.1,31.9,14.28
2026-03-04 21:00:00,Delhi,IN,28.66,77.21,184.9,264.919,7.17,25.652,62.202,9.029,74.08,123.13,5.486,20.3,54.2,0.89
2026-03-04 21:30:00,Delhi,IN,28.66,77.21,178.6,331.078,4.249,39.047,107.402,4.776,75.67,143.7,4.558,18.1,77.8,12.24
2026-03-04 22:00:00,Delhi,IN,28.66,77.21,189.1,300.542,5.973,35.545,112.652,9.639,74.9,148.21,3.371,30.5,57.0,3.25
2026-03-04 22:30:00,Delhi,IN,28.66,77.21,195.1,209.866,4.447,26.118,31.894,8.812,72.49,140.46,2.641,34.8,80.3,2.3
2026-03-04 23:00:00,Delhi,IN,28.66,77.21,201.0,255.885,7.572,45.064,51.549,4.3,85.33,134.56,3.656,29.2,32.9,13.48
2026-03-04 23:30:00,Delhi,IN,28.66,77.21,206.4,296.75,6.745,34.146,93.888,3.947,74.94,141.5,3.639,19.7,58.2,0.03
2026-03-05 00:00:00,Delhi,IN,28.66,77.21,181.3,244.623,8.584,33.258,98.116,4.66,67.05,105.53,4.213,35.8,77.2,11.12
2026-03-05 00:30:00,Delhi,IN,28.66,77.21,169.4,160.049,4.664,28.512,65.318,3.888,69.92,136.8,1.773,35.6,70.5,1.31
2026-03-05 01:00:00,Delhi,IN,28.66,77.21,157.9,309.974,7.207,28.954,89.108,6.917,67.07,117.96,4.757,26.4,81.2,9.27
2026-03-05 01:30:00,Delhi,IN,28.66,77.21,144.0,223.954,2.898,22.416,85.094,3.416,63.3,105.6,1.751,19.9,46.4,9.31
2026-03-05 02:00:00,Delhi,IN,28.66,77.21,151.6,195.557,6.392,30.131,96.58,7.448,57.18,90.26,2.044,31.0,60.1,12.94
2026-03-05 02:30:00,Delhi,IN,28.66,77.21,164.9,154.512,3.617,20.665,94.679,5.912,59.53,89.65,4.74,35.3,70.6,12.34
2026-03-05 03:00:00,Delhi,IN,28.66,77.21,159.4,222.427,7.877,37.9,37.728,8.723,71.04,115.37,2.232,32.0,40.1,10.28
2026-03-05 03:30:00,Delhi,IN,28.66,77.21,145.0,158.867,3.474,28.579,44.243,6.627,52.98,103.69,1.381,29.2,78.9,5.71
2026-03-05 04:00:00,Delhi,IN,28.66,77.21,132.9,138.215,7.486,25.753,41.945,4.948,49.15,93.31,2.866,29.0,48.7,2.5
2026-03-05 04:30:00,Delhi,IN,28.66,77.21,142.6,200.123,4.649,16.531,113.923,7.705,54.05,107.29,2.356,35.6,35.6,9.54
2026-03-05 05:00:00,Delhi,IN,28.66,77.21,152.0,207.48,6.207,23.398,112.219,9.129,61.26,94.98,1.563,19.3,75.9,7.45
2026-03-05 05:30:00,Delhi,IN,28.66,77.21,157.4,321.945,8.463,30.383,101.767,5.926,68.97,123.88,1.395,20.7,72.3,1.17
2026-03-05 06:00:00,Delhi,IN,28.66,77.21,194.1,398.993,5.12,39.59,40.505,5.176,82.71,134.7,2.047,33.0,83.0,14.33
2026-03-05 06:30:00,Delhi,IN,28.66,77.21,196.9,220.316,9.579,47.717,81.684,7.154,82.87,146.81,4.257,20.6,83.5,4.72
2026-03-05 07:00:00,Delhi,IN,28.66,77.21,246.6,208.444,6.117,37.395,46.851,6.555,90.62,150.44,3.068,24.9,46.7,0.03
2026-03-05 07:30:00,Delhi,IN,28.66,77.21,249.2,418.732,15.004,54.072,63.155,9.911,96.13,157.82,6.407,23.1,68.5,13.53
2026-03-05 08:00:00,Delhi,IN,28.66,77.21,266.1,527.697,5.095,36.95,54.038,9.299,105.87,189.17,7.564,22.4,89.9,8.66
